t_ms,thrust_raw_N,thrust_filt_N
2295,-6.1008,-6.1604
2307,-6.3198,-6.1922
2319,-6.4601,-6.2458
2331,-6.3995,-6.2766
2343,-6.3928,-6.2998
2354,-6.3265,-6.3051
2366,-6.3276,-6.3096
2378,-6.1873,-6.2852
2390,-6.2254,-6.2732
2402,-6.3119,-6.281
2414,-6.2591,-6.2766
2425,-5.9975,-6.2208
2437,-6.0637,-6.1894
2449,-6.2165,-6.1948
2461,-6.1727,-6.1904
2473,-6.2356,-6.1994
2485,-6.2479,-6.2091
2496,-6.2715,-6.2216
2508,-6.4635,-6.27
2520,-6.3411,-6.2842
2532,-6.075,-6.2423
2544,-6.1749,-6.2289
2556,-6.3332,-6.2497
2567,-6.4163,-6.2831
2579,-6.3568,-6.2978
2591,-6.5197,-6.3422
2603,-6.4635,-6.3664
2615,-6.3231,-6.3578
2627,-6.4613,-6.3785
2638,-6.3366,-6.3701
2650,-6.2793,-6.352
2662,-6.1974,-6.321
2674,-6.1974,-6.2963
2686,-6.3681,-6.3107
2698,-6.4646,-6.3415
2709,-6.386,-6.3504
2721,-6.2007,-6.3204
2733,-6.24,-6.3044
2745,-6.5174,-6.347
2757,-6.4422,-6.366
2769,-6.4062,-6.3741
2781,-6.4736,-6.394
2792,-6.6555,-6.4463
2804,-6.4983,-6.4567
2816,-6.1817,-6.4017
2828,-6.3175,-6.3848
2840,-6.2805,-6.364
2852,-6.1255,-6.3163
2863,-6.1525,-6.2835
2875,-5.8178,-6.1904
2887,-5.7673,-6.1058
2899,-5.8627,-6.0572
2911,-6.0346,-6.0526
2923,-6.1884,-6.0798
2934,-5.8998,-6.0438
2946,-5.7763,-5.9903
2958,-5.8493,-5.9621
2970,-5.8459,-5.9388
2982,-5.7033,-5.8917
2994,-6.0155,-5.9165
3005,-6.2883,-5.9909
3017,-6.1143,-6.0155
3029,-6.0615,-6.0247
3041,-6.0885,-6.0375
3053,-6.0548,-6.0409
3065,-6.0334,-6.0394
3076,-5.8964,-6.0108
3088,-6.0491,-6.0185
3100,-6.3636,-6.0875
3112,-6.4029,-6.1506
3124,-6.5039,-6.2213
3136,-6.3703,-6.2511
3147,-6.4242,-6.2857
3159,-6.3175,-6.2921
3171,-6.3916,-6.312
3183,-6.4287,-6.3353
3195,-6.3366,-6.3356
3207,-6.2299,-6.3144
3219,-6.13,-6.2776
3230,-6.2502,-6.2721
3242,-6.4309,-6.3039
3254,-6.55,-6.3531
3266,-6.4017,-6.3628
3278,-6.2591,-6.3421
3290,-6.3074,-6.3351
3301,-6.2973,-6.3276
3313,-5.9952,-6.2611
3325,-6.0783,-6.2246
3337,-6.1637,-6.2124
3349,-6.3905,-6.248
3361,-6.4736,-6.2931
3372,-6.5466,-6.3438
3384,-6.55,-6.3851
3396,-6.4893,-6.4059
3408,-6.4994,-6.4246
3420,-6.2973,-6.3992
3432,-6.3119,-6.3817
3443,-6.5275,-6.4109
3455,-6.3939,-6.4075
3467,-6.3142,-6.3888
3479,-6.3905,-6.3891
3491,-6.3535,-6.382
3503,-6.2659,-6.3588
3514,-6.413,-6.3696
3526,-6.5241,-6.4005
3538,-6.3827,-6.397
3550,-6.4017,-6.3979
3562,-6.2591,-6.3702
3574,-6.258,-6.3477
3585,-6.1951,-6.3172
3597,-6.2984,-6.3135
3609,-6.5634,-6.3635
3621,-6.7386,-6.4385
3633,-6.6454,-6.4799
